# MEAN_SAMPLE_SIZE = 103764
# TOTAL_GENES = 19275
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
VALK_AML_WITH_T_8_21_TRANSLO...          SET       4      0.14502    0.0020889      0.42411       0.3662 VALK_AML_WITH_T_8_21_TRANSLOCATION
VANASSE_BCL2_TARGETS_DN                  SET      58     0.015188   0.00083192      0.10059      0.43999 VANASSE_BCL2_TARGETS_DN
VANASSE_BCL2_TARGETS_UP                  SET      30     0.074126    0.0029222      0.14239      0.30133 VANASSE_BCL2_TARGETS_UP
VANDESLUIS_COMMD1_TARGETS_GR...1         SET      15      0.37204     0.010375       0.2177     0.043743 VANDESLUIS_COMMD1_TARGETS_GROUP_2_UP
VANDESLUIS_COMMD1_TARGETS_GR...2         SET      37     -0.19211   -0.0084089       0.1231      0.94068 VANDESLUIS_COMMD1_TARGETS_GROUP_3_DN
VANDESLUIS_COMMD1_TARGETS_GR...3         SET      77    -0.010218  -0.00064457     0.083691      0.54859 VANDESLUIS_COMMD1_TARGETS_GROUP_3_UP
VANDESLUIS_COMMD1_TARGETS_GR...4         SET      16     -0.30554   -0.0087995      0.20116       0.9356 VANDESLUIS_COMMD1_TARGETS_GROUP_4_DN
VANDESLUIS_COMMD1_TARGETS_GR...5         SET      14      -0.1453   -0.0039145      0.21615      0.74927 VANDESLUIS_COMMD1_TARGETS_GROUP_4_UP
VANDESLUIS_NORMAL_EMBRYOS_DN             SET      20    -0.091385   -0.0029422      0.18359      0.69067 VANDESLUIS_NORMAL_EMBRYOS_DN
VANDESLUIS_NORMAL_EMBRYOS_UP             SET       5    -0.087945   -0.0014163      0.30603      0.61308 VANDESLUIS_NORMAL_EMBRYOS_UP
VANHARANTA_UTERINE_FIBROID_DN            SET      64  -4.6325e-05   -2.665e-06      0.10053      0.50018 VANHARANTA_UTERINE_FIBROID_DN
VANHARANTA_UTERINE_FIBROID_UP            SET      40    -0.014623  -0.00066547      0.13331      0.54367 VANHARANTA_UTERINE_FIBROID_UP
VANHARANTA_UTERINE_FIBROID_W...1         SET      35    -0.070028   -0.0029814      0.12576      0.71117 VANHARANTA_UTERINE_FIBROID_WITH_7Q_DELETION_DN
VANHARANTA_UTERINE_FIBROID_W...2         SET      59     0.075868    0.0041911     0.098797      0.22127 VANHARANTA_UTERINE_FIBROID_WITH_7Q_DELETION_UP
VANLOO_SP3_TARGETS_DN                    SET      85     0.060547     0.004012     0.087643      0.24484 VANLOO_SP3_TARGETS_DN
VANLOO_SP3_TARGETS_UP                    SET       8   -0.0022894  -4.6632e-05      0.26396      0.50346 VANLOO_SP3_TARGETS_UP
VANOEVELEN_MYOGENESIS_SIN3A_...          SET     217     0.019804    0.0020895     0.051554      0.35044 VANOEVELEN_MYOGENESIS_SIN3A_TARGETS
VANTVEER_BREAST_CANCER_BRCA1...1         SET      39    -0.038244   -0.0017186       0.1368      0.61009 VANTVEER_BREAST_CANCER_BRCA1_DN
VANTVEER_BREAST_CANCER_BRCA1...2         SET      32      0.06383    0.0025987      0.12908      0.31048 VANTVEER_BREAST_CANCER_BRCA1_UP
VANTVEER_BREAST_CANCER_ESR1_...1         SET     213   0.00059813   6.2529e-05     0.052877      0.49549 VANTVEER_BREAST_CANCER_ESR1_DN
VANTVEER_BREAST_CANCER_ESR1_...2         SET     144     0.048295    0.0041588     0.064579      0.22729 VANTVEER_BREAST_CANCER_ESR1_UP
VANTVEER_BREAST_CANCER_METAS...1         SET     105      0.10342    0.0076122     0.080787      0.10026 VANTVEER_BREAST_CANCER_METASTASIS_DN
VANTVEER_BREAST_CANCER_METAS...2         SET      43    -0.068421   -0.0032282      0.11655      0.72142 VANTVEER_BREAST_CANCER_METASTASIS_UP
VANTVEER_BREAST_CANCER_POOR_...          SET      49    -0.048435    -0.002439      0.11672      0.66091 VANTVEER_BREAST_CANCER_POOR_PROGNOSIS
VARELA_ZMPSTE24_TARGETS_DN               SET      38    -0.075285   -0.0033395      0.11553      0.74268 VARELA_ZMPSTE24_TARGETS_DN
VARELA_ZMPSTE24_TARGETS_UP               SET      41     0.031539    0.0014531      0.13175      0.40541 VARELA_ZMPSTE24_TARGETS_UP
VART_KSHV_INFECTION_ANGIOGEN...1         SET     129     0.060459    0.0049296     0.070279      0.19483 VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_DN
VART_KSHV_INFECTION_ANGIOGEN...2         SET     154       0.1108    0.0098644     0.066246     0.047217 VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP
VECCHI_GASTRIC_CANCER_ADVANC...1         SET     133    -0.013805   -0.0011428     0.065498      0.58346 VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN
VECCHI_GASTRIC_CANCER_ADVANC...2         SET     161       0.2165     0.019704     0.066241   0.00054199 VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP
VECCHI_GASTRIC_CANCER_EARLY_...1         SET     323      0.02183    0.0028022     0.045955      0.31739 VECCHI_GASTRIC_CANCER_EARLY_DN
VECCHI_GASTRIC_CANCER_EARLY_...2         SET     401    0.0023497   0.00033537     0.039301      0.47616 VECCHI_GASTRIC_CANCER_EARLY_UP
VERHAAK_AML_WITH_NPM1_MUTATE...1         SET     234     0.050784    0.0055616     0.052478       0.1666 VERHAAK_AML_WITH_NPM1_MUTATED_DN
VERHAAK_AML_WITH_NPM1_MUTATE...2         SET     169     0.092437    0.0086177     0.064903       0.0772 VERHAAK_AML_WITH_NPM1_MUTATED_UP
VERHAAK_GLIOBLASTOMA_CLASSIC...          SET     158    0.0015034   0.00013556     0.065356      0.49082 VERHAAK_GLIOBLASTOMA_CLASSICAL
VERHAAK_GLIOBLASTOMA_MESENCH...          SET     209    -0.036591   -0.0037896     0.055497      0.74515 VERHAAK_GLIOBLASTOMA_MESENCHYMAL
VERHAAK_GLIOBLASTOMA_NEURAL              SET     120    -0.039347    -0.003095     0.070975      0.71034 VERHAAK_GLIOBLASTOMA_NEURAL
VERHAAK_GLIOBLASTOMA_PRONEUR...          SET     156   -0.0032329  -0.00028967     0.065973      0.51954 VERHAAK_GLIOBLASTOMA_PRONEURAL
VERNELL_RETINOBLASTOMA_PATHW...1         SET      22      0.16994    0.0057383      0.15342      0.13401 VERNELL_RETINOBLASTOMA_PATHWAY_DN
VERNELL_RETINOBLASTOMA_PATHW...2         SET      68   -0.0074701  -0.00044292     0.098733      0.53015 VERNELL_RETINOBLASTOMA_PATHWAY_UP
VERNOCHET_ADIPOGENESIS                   SET      19      0.23293    0.0073096      0.17478     0.091331 VERNOCHET_ADIPOGENESIS
VERRECCHIA_DELAYED_RESPONSE_...          SET      36    -0.030629   -0.0013225      0.13055      0.59274 VERRECCHIA_DELAYED_RESPONSE_TO_TGFB1
VERRECCHIA_EARLY_RESPONSE_TO...          SET      53   0.00015813    8.281e-06      0.10642      0.49941 VERRECCHIA_EARLY_RESPONSE_TO_TGFB1
VERRECCHIA_RESPONSE_TO_TGFB1...1         SET      19     0.049342    0.0015484      0.19024      0.39768 VERRECCHIA_RESPONSE_TO_TGFB1_C1
VERRECCHIA_RESPONSE_TO_TGFB1...2         SET      20      0.13489    0.0043429      0.16639      0.20878 VERRECCHIA_RESPONSE_TO_TGFB1_C2
VERRECCHIA_RESPONSE_TO_TGFB1...3         SET      14     -0.25439   -0.0068536       0.2022      0.89581 VERRECCHIA_RESPONSE_TO_TGFB1_C3
VERRECCHIA_RESPONSE_TO_TGFB1...4         SET      11     0.088223     0.002107      0.21616      0.34159 VERRECCHIA_RESPONSE_TO_TGFB1_C4
VERRECCHIA_RESPONSE_TO_TGFB1...5         SET      20    -0.093141   -0.0029988      0.18415      0.69349 VERRECCHIA_RESPONSE_TO_TGFB1_C5
VERRECCHIA_RESPONSE_TO_TGFB1...6         SET       5     -0.12041   -0.0019391      0.35817      0.63163 VERRECCHIA_RESPONSE_TO_TGFB1_C6
VETTER_TARGETS_OF_PRKCA_AND_...1         SET      16    -0.035114   -0.0010113      0.19125      0.57284 VETTER_TARGETS_OF_PRKCA_AND_ETS1_DN
VETTER_TARGETS_OF_PRKCA_AND_...2         SET      16      0.46452     0.013378      0.20191     0.010711 VETTER_TARGETS_OF_PRKCA_AND_ETS1_UP
VICENT_METASTASIS_UP                     SET      14     0.041188    0.0011097      0.23421       0.4302 VICENT_METASTASIS_UP
VIETOR_IFRD1_TARGETS                     SET      22       0.1383    0.0046697      0.16965      0.20749 VIETOR_IFRD1_TARGETS
VILIMAS_NOTCH1_TARGETS_DN                SET      24      0.21831    0.0076988      0.16601     0.094257 VILIMAS_NOTCH1_TARGETS_DN
VILIMAS_NOTCH1_TARGETS_UP                SET      49     0.009444   0.00047557      0.11596      0.46755 VILIMAS_NOTCH1_TARGETS_UP
VILLANUEVA_LIVER_CANCER_KRT1...1         SET      58     0.036057     0.001975     0.098651      0.35737 VILLANUEVA_LIVER_CANCER_KRT19_DN
VILLANUEVA_LIVER_CANCER_KRT1...2         SET     164    -0.046119    -0.004236     0.059688      0.78013 VILLANUEVA_LIVER_CANCER_KRT19_UP
VISALA_AGING_LYMPHOCYTE_DN               SET      18     0.099716    0.0030459      0.16871      0.27725 VISALA_AGING_LYMPHOCYTE_DN
VISALA_AGING_LYMPHOCYTE_UP               SET       5    -0.098162   -0.0015808       0.3889      0.59964 VISALA_AGING_LYMPHOCYTE_UP
VISALA_RESPONSE_TO_HEAT_SHOC...1         SET      12      0.40947     0.010214      0.26304     0.059781 VISALA_RESPONSE_TO_HEAT_SHOCK_AND_AGING_DN
VISALA_RESPONSE_TO_HEAT_SHOC...2         SET      14     0.041636    0.0011217      0.22162      0.42549 VISALA_RESPONSE_TO_HEAT_SHOCK_AND_AGING_UP
WACKER_HYPOXIA_TARGETS_OF_VHL            SET      12      0.26917    0.0067142      0.24588      0.13683 WACKER_HYPOXIA_TARGETS_OF_VHL
WAESCH_ANAPHASE_PROMOTING_CO...          SET      13      0.24385    0.0063309       0.1905      0.10028 WAESCH_ANAPHASE_PROMOTING_COMPLEX
WAGNER_APO2_SENSITIVITY                  SET      26     -0.10246   -0.0037605      0.17154      0.72483 WAGNER_APO2_SENSITIVITY
WAGSCHAL_EHMT2_TARGETS_UP                SET      13      0.22935    0.0059545      0.24303      0.17266 WAGSCHAL_EHMT2_TARGETS_UP
WAKABAYASHI_ADIPOGENESIS_PPA...1         SET      29     0.048676    0.0018867      0.15612       0.3776 WAKABAYASHI_ADIPOGENESIS_PPARG_BOUND_36HR
WAKABAYASHI_ADIPOGENESIS_PPA...2         SET     617     0.045169    0.0079511     0.031568     0.076251 WAKABAYASHI_ADIPOGENESIS_PPARG_BOUND_8D
WAKABAYASHI_ADIPOGENESIS_PPA...3         SET     146   0.00026602   2.3065e-05     0.065108      0.49837 WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_36HR
WAKABAYASHI_ADIPOGENESIS_PPA...4         SET     833     0.030998    0.0063035       0.0282      0.13584 WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_8D
WAKABAYASHI_ADIPOGENESIS_PPA...5         SET     142     0.056959     0.004871     0.067509      0.19942 WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_WITH_H4K20ME1_MARK
WAKASUGI_HAVE_ZNF143_BINDING...          SET      53   -0.0035555  -0.00018619     0.098455       0.5144 WAKASUGI_HAVE_ZNF143_BINDING_SITES
WALLACE_JAK2_TARGETS_UP                  SET      22      0.46643     0.015749      0.17668    0.0041495 WALLACE_JAK2_TARGETS_UP
WALLACE_PROSTATE_CANCER_DN               SET       5      0.20362    0.0032792      0.35351      0.28231 WALLACE_PROSTATE_CANCER_DN
WALLACE_PROSTATE_CANCER_RACE...1         SET      78      0.14336    0.0091016     0.084127     0.044189 WALLACE_PROSTATE_CANCER_RACE_DN
WALLACE_PROSTATE_CANCER_RACE...2         SET     266    -0.078823   -0.0091959     0.051086      0.93857 WALLACE_PROSTATE_CANCER_RACE_UP
WALLACE_PROSTATE_CANCER_UP               SET      19     0.077236    0.0024238      0.18532      0.33843 WALLACE_PROSTATE_CANCER_UP
WAMUNYOKOLI_OVARIAN_CANCER_G...1         SET      63     0.053906    0.0030769      0.10091      0.29661 WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_DN
WAMUNYOKOLI_OVARIAN_CANCER_G...2         SET     132     0.015076    0.0012434     0.066834      0.41077 WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP
WAMUNYOKOLI_OVARIAN_CANCER_L...1         SET     176      0.11927     0.011345     0.059393     0.022323 WAMUNYOKOLI_OVARIAN_CANCER_LMP_DN
WAMUNYOKOLI_OVARIAN_CANCER_L...2         SET     262     0.041938    0.0048562     0.048277      0.19251 WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP
WANG_ADIPOGENIC_GENES_REPRES...          SET      26     -0.11675   -0.0042852      0.14355      0.79198 WANG_ADIPOGENIC_GENES_REPRESSED_BY_SIRT1
WANG_BARRETTS_ESOPHAGUS_AND_...1         SET      36      0.36596     0.015801      0.13464     0.003287 WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_DN
WANG_BARRETTS_ESOPHAGUS_AND_...2         SET      24      0.14575      0.00514      0.15311      0.17058 WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_UP
WANG_BARRETTS_ESOPHAGUS_DN               SET      24      0.14748    0.0052011       0.1666      0.18801 WANG_BARRETTS_ESOPHAGUS_DN
WANG_BARRETTS_ESOPHAGUS_UP               SET      47      0.11813    0.0058262      0.10702      0.13485 WANG_BARRETTS_ESOPHAGUS_UP
WANG_CISPLATIN_RESPONSE_AND_...1         SET     209     0.040348    0.0041787     0.053608      0.22584 WANG_CISPLATIN_RESPONSE_AND_XPC_DN
WANG_CISPLATIN_RESPONSE_AND_...2         SET     171    -0.022258   -0.0020872     0.062261      0.63964 WANG_CISPLATIN_RESPONSE_AND_XPC_UP
WANG_CLASSIC_ADIPOGENIC_TARG...          SET      27     0.048681    0.0018208      0.15394      0.37592 WANG_CLASSIC_ADIPOGENIC_TARGETS_OF_PPARG
WANG_CLIM2_TARGETS_DN                    SET     170   -0.0065263  -0.00061021     0.058505      0.54441 WANG_CLIM2_TARGETS_DN
WANG_CLIM2_TARGETS_UP                    SET     221    -0.037125   -0.0039525     0.050532      0.76873 WANG_CLIM2_TARGETS_UP
WANG_ESOPHAGUS_CANCER_PROGRE...          SET       9      0.58992     0.012745      0.25877     0.011317 WANG_ESOPHAGUS_CANCER_PROGRESSION_UP
WANG_ESOPHAGUS_CANCER_VS_NOR...1         SET      98     0.094414    0.0067152     0.075804      0.10648 WANG_ESOPHAGUS_CANCER_VS_NORMAL_DN
WANG_ESOPHAGUS_CANCER_VS_NOR...2         SET     113      0.13719     0.010474     0.073737     0.031414 WANG_ESOPHAGUS_CANCER_VS_NORMAL_UP
WANG_HCP_PROSTATE_CANCER                 SET     103    -0.041112   -0.0029974       0.0775      0.70211 WANG_HCP_PROSTATE_CANCER
WANG_IMMORTALIZED_BY_HOXA9_A...1         SET      24       0.2027    0.0071485       0.1557     0.096486 WANG_IMMORTALIZED_BY_HOXA9_AND_MEIS1_DN
WANG_IMMORTALIZED_BY_HOXA9_A...2         SET      29     0.050666    0.0019638      0.16063      0.37623 WANG_IMMORTALIZED_BY_HOXA9_AND_MEIS1_UP
WANG_LMO4_TARGETS_DN                     SET     336     0.078805     0.010314     0.043783     0.035946 WANG_LMO4_TARGETS_DN
WANG_LMO4_TARGETS_UP                     SET     333     0.021384    0.0027864     0.042995      0.30947 WANG_LMO4_TARGETS_UP
WANG_LSD1_TARGETS_DN                     SET      33     0.081594    0.0033733      0.14962      0.29277 WANG_LSD1_TARGETS_DN
WANG_LSD1_TARGETS_UP                     SET      23     -0.27138   -0.0093691      0.15963      0.95543 WANG_LSD1_TARGETS_UP
WANG_METASTASIS_OF_BREAST_CA...1         SET      13      0.38826      0.01008      0.20102      0.02672 WANG_METASTASIS_OF_BREAST_CANCER
WANG_METASTASIS_OF_BREAST_CA...2         SET      29   -0.0016551  -6.4152e-05      0.14493      0.50456 WANG_METASTASIS_OF_BREAST_CANCER_ESR1_DN
WANG_METASTASIS_OF_BREAST_CA...3         SET      22    -0.074807   -0.0025259      0.15464      0.68571 WANG_METASTASIS_OF_BREAST_CANCER_ESR1_UP
WANG_METHYLATED_IN_BREAST_CA...          SET      35     -0.09151    -0.003896      0.13576      0.74985 WANG_METHYLATED_IN_BREAST_CANCER
WANG_MLL_TARGETS                         SET     279    -0.025253   -0.0030163      0.04843      0.69896 WANG_MLL_TARGETS
WANG_NEOPLASTIC_TRANSFORMATI...          SET      16     0.064114    0.0018465      0.21346      0.38196 WANG_NEOPLASTIC_TRANSFORMATION_BY_CCND1_MYC
WANG_NFKB_TARGETS                        SET      24      0.12699    0.0044784      0.14307      0.18738 WANG_NFKB_TARGETS
WANG_PROSTATE_CANCER_ANDROGE...          SET      59     0.060592    0.0033473      0.10344      0.27902 WANG_PROSTATE_CANCER_ANDROGEN_INDEPENDENT
WANG_RECURRENT_LIVER_CANCER_...1         SET      16     0.052093    0.0015003      0.21936      0.40615 WANG_RECURRENT_LIVER_CANCER_DN
WANG_RECURRENT_LIVER_CANCER_...2         SET      16    -0.037124   -0.0010692      0.19599      0.57512 WANG_RECURRENT_LIVER_CANCER_UP
WANG_RESPONSE_TO_ANDROGEN_UP             SET      28       0.1319    0.0050237      0.15415      0.19611 WANG_RESPONSE_TO_ANDROGEN_UP
WANG_RESPONSE_TO_BEXAROTENE_...1         SET      29     -0.22342   -0.0086597       0.1606       0.9179 WANG_RESPONSE_TO_BEXAROTENE_DN
WANG_RESPONSE_TO_BEXAROTENE_...2         SET      30     0.061923    0.0024411      0.13093      0.31812 WANG_RESPONSE_TO_BEXAROTENE_UP
WANG_RESPONSE_TO_FORSKOLIN_DN            SET       9      0.18926    0.0040887      0.28573      0.25387 WANG_RESPONSE_TO_FORSKOLIN_DN
WANG_RESPONSE_TO_FORSKOLIN_UP            SET      22      0.17688    0.0059725      0.17502       0.1561 WANG_RESPONSE_TO_FORSKOLIN_UP
WANG_RESPONSE_TO_GSK3_INHIBI...1         SET     336    -0.041811   -0.0054722     0.042607      0.83678 WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_DN
WANG_RESPONSE_TO_GSK3_INHIBI...2         SET     338     0.013493    0.0017711     0.041548      0.37268 WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_UP
WANG_SMARCE1_TARGETS_DN                  SET     350   -0.0013412  -0.00017909     0.042853      0.51248 WANG_SMARCE1_TARGETS_DN
WANG_SMARCE1_TARGETS_UP                  SET     267     0.052764    0.0061671     0.051618      0.15335 WANG_SMARCE1_TARGETS_UP
WANG_TARGETS_OF_MLL_CBP_FUSI...1         SET      43     -0.13596   -0.0064145      0.11984       0.8717 WANG_TARGETS_OF_MLL_CBP_FUSION_DN
WANG_TARGETS_OF_MLL_CBP_FUSI...2         SET      42    -0.021961    -0.001024        0.126      0.56918 WANG_TARGETS_OF_MLL_CBP_FUSION_UP
WANG_THOC1_TARGETS_DN                    SET      17    -0.026056  -0.00077348       0.2012      0.55152 WANG_THOC1_TARGETS_DN
WANG_THOC1_TARGETS_UP                    SET       5     -0.70304    -0.011322      0.34437      0.97939 WANG_THOC1_TARGETS_UP
WANG_TNF_TARGETS                         SET      24     -0.11136   -0.0039272      0.16184       0.7543 WANG_TNF_TARGETS
WANG_TUMOR_INVASIVENESS_DN               SET     199      0.08002    0.0080888     0.056005     0.076541 WANG_TUMOR_INVASIVENESS_DN
WANG_TUMOR_INVASIVENESS_UP               SET     376     0.070891    0.0098044     0.039877     0.037732 WANG_TUMOR_INVASIVENESS_UP
WARTERS_IR_RESPONSE_5GY                  SET      47     0.099695     0.004917      0.12286      0.20856 WARTERS_IR_RESPONSE_5GY
WARTERS_RESPONSE_TO_IR_SKIN              SET      73    -0.005523  -0.00033926      0.09844      0.52237 WARTERS_RESPONSE_TO_IR_SKIN
WATANABE_COLON_CANCER_MSI_VS...1         SET      56    -0.077004   -0.0041447      0.10779       0.7625 WATANABE_COLON_CANCER_MSI_VS_MSS_DN
WATANABE_COLON_CANCER_MSI_VS...2         SET      28     -0.23583   -0.0089821      0.15232      0.93921 WATANABE_COLON_CANCER_MSI_VS_MSS_UP
WATANABE_RECTAL_CANCER_RADIO...1         SET      90      0.15789     0.010764     0.085598     0.032564 WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN
WATANABE_RECTAL_CANCER_RADIO...2         SET     104     0.005114   0.00037464     0.076185      0.47324 WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP
WATANABE_ULCERATIVE_COLITIS_...1         SET      14      0.18458    0.0049729      0.20962      0.18929 WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_DN
WATANABE_ULCERATIVE_COLITIS_...2         SET      19     0.037428    0.0011745      0.19266      0.42299 WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_UP
WEBER_METHYLATED_HCP_IN_FIBR...1         SET      38     -0.14516    -0.006439      0.12901      0.86974 WEBER_METHYLATED_HCP_IN_FIBROBLAST_DN
WEBER_METHYLATED_HCP_IN_FIBR...2         SET       6    -0.047002  -0.00082916      0.34372      0.55438 WEBER_METHYLATED_HCP_IN_FIBROBLAST_UP
WEBER_METHYLATED_HCP_IN_SPER...1         SET      28     -0.29545    -0.011253      0.15457      0.97202 WEBER_METHYLATED_HCP_IN_SPERM_DN
WEBER_METHYLATED_HCP_IN_SPER...2         SET      16      0.12154    0.0035002      0.19352        0.265 WEBER_METHYLATED_HCP_IN_SPERM_UP
WEBER_METHYLATED_ICP_IN_FIBR...          SET      20     -0.10138   -0.0032641      0.16475      0.73084 WEBER_METHYLATED_ICP_IN_FIBROBLAST
WEBER_METHYLATED_ICP_IN_SPER...1         SET      13   -0.0080707  -0.00020953      0.19564      0.51645 WEBER_METHYLATED_ICP_IN_SPERM_DN
WEBER_METHYLATED_ICP_IN_SPER...2         SET       7     -0.32745   -0.0062392       0.3048      0.85865 WEBER_METHYLATED_ICP_IN_SPERM_UP
WEBER_METHYLATED_IN_COLON_CA...          SET      18      0.31987    0.0097706      0.20638     0.060593 WEBER_METHYLATED_IN_COLON_CANCER
WEBER_METHYLATED_LCP_IN_FIBR...1         SET      10    -0.040844  -0.00093011      0.20232         0.58 WEBER_METHYLATED_LCP_IN_FIBROBLAST_DN
WEBER_METHYLATED_LCP_IN_FIBR...2         SET      13     -0.16608   -0.0043119      0.19476       0.8031 WEBER_METHYLATED_LCP_IN_FIBROBLAST_UP
WEBER_METHYLATED_LCP_IN_SPER...1         SET       8    -0.061137   -0.0012453       0.2431      0.59928 WEBER_METHYLATED_LCP_IN_SPERM_DN
WEBER_METHYLATED_LCP_IN_SPER...2         SET      15     -0.13144   -0.0036654      0.17399      0.77501 WEBER_METHYLATED_LCP_IN_SPERM_UP
WEIGEL_OXIDATIVE_STRESS_BY_H...1         SET      33     0.043506    0.0017987      0.14002      0.37801 WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_H2O2
WEIGEL_OXIDATIVE_STRESS_BY_H...2         SET      59     -0.07043   -0.0038907      0.11548      0.72903 WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_TBH
WEIGEL_OXIDATIVE_STRESS_BY_T...          SET      35     0.068063    0.0028978      0.13098      0.30166 WEIGEL_OXIDATIVE_STRESS_BY_TBH_AND_H2O2
WEIGEL_OXIDATIVE_STRESS_RESP...          SET      32     -0.13346   -0.0054335      0.13443      0.83959 WEIGEL_OXIDATIVE_STRESS_RESPONSE
WEINMANN_ADAPTATION_TO_HYPOX...1         SET      35     0.025502    0.0010857      0.13624      0.42576 WEINMANN_ADAPTATION_TO_HYPOXIA_DN
WEINMANN_ADAPTATION_TO_HYPOX...2         SET      24      0.30646     0.010807      0.16506     0.031688 WEINMANN_ADAPTATION_TO_HYPOXIA_UP
WEI_MIR34A_TARGETS                       SET     141     0.029903    0.0025482     0.068124      0.33036 WEI_MIR34A_TARGETS
WEI_MYCN_TARGETS_WITH_E_BOX              SET     762     0.033071    0.0064444     0.028882       0.1261 WEI_MYCN_TARGETS_WITH_E_BOX
WELCH_GATA1_TARGETS                      SET      24     0.039044    0.0013769      0.16877      0.40853 WELCH_GATA1_TARGETS
WELCSH_BRCA1_TARGETS_DN                  SET     133     0.035377    0.0029286     0.067169      0.29921 WELCSH_BRCA1_TARGETS_DN
WELCSH_BRCA1_TARGETS_UP                  SET     188     0.010178    0.0010003     0.056577      0.42862 WELCSH_BRCA1_TARGETS_UP
WENDT_COHESIN_TARGETS_UP                 SET      32    -0.096932   -0.0039463      0.14374      0.74995 WENDT_COHESIN_TARGETS_UP
WENG_POR_DOSAGE                          SET      23     0.053688    0.0018535       0.1683      0.37486 WENG_POR_DOSAGE
WENG_POR_TARGETS_GLOBAL_DN               SET      24       -0.423    -0.014917       0.1628      0.99531 WENG_POR_TARGETS_GLOBAL_DN
WENG_POR_TARGETS_GLOBAL_UP               SET      19     -0.09351   -0.0029345       0.1823        0.696 WENG_POR_TARGETS_GLOBAL_UP
WENG_POR_TARGETS_LIVER_DN                SET      23     -0.13607   -0.0046978      0.16281      0.79835 WENG_POR_TARGETS_LIVER_DN
WENG_POR_TARGETS_LIVER_UP                SET      42      0.12183    0.0056809      0.12511       0.1651 WENG_POR_TARGETS_LIVER_UP
WESTON_VEGFA_TARGETS                     SET      87     0.091986    0.0061661     0.085867      0.14203 WESTON_VEGFA_TARGETS
WESTON_VEGFA_TARGETS_12HR                SET      23      0.10099    0.0034867      0.16226      0.26684 WESTON_VEGFA_TARGETS_12HR
WESTON_VEGFA_TARGETS_3HR                 SET      59      0.10255    0.0056654      0.10381       0.1616 WESTON_VEGFA_TARGETS_3HR
WESTON_VEGFA_TARGETS_6HR                 SET      45     0.023215    0.0011204      0.12072      0.42376 WESTON_VEGFA_TARGETS_6HR
WEST_ADRENOCORTICAL_CARCINOM...1         SET      24    -0.014762  -0.00052057      0.16919      0.53476 WEST_ADRENOCORTICAL_CARCINOMA_VS_ADENOMA_DN
WEST_ADRENOCORTICAL_CARCINOM...2         SET      17     -0.11126   -0.0033029       0.1669      0.74749 WEST_ADRENOCORTICAL_CARCINOMA_VS_ADENOMA_UP
WEST_ADRENOCORTICAL_TUMOR_DN             SET     499     0.027875    0.0044267     0.035846       0.2184 WEST_ADRENOCORTICAL_TUMOR_DN
WEST_ADRENOCORTICAL_TUMOR_MA...1         SET      18     0.078277     0.002391      0.17689      0.32906 WEST_ADRENOCORTICAL_TUMOR_MARKERS_DN
WEST_ADRENOCORTICAL_TUMOR_MA...2         SET      22     -0.25441   -0.0085903      0.16567      0.93768 WEST_ADRENOCORTICAL_TUMOR_MARKERS_UP
WEST_ADRENOCORTICAL_TUMOR_UP             SET     292    -0.026632    -0.003253     0.046356      0.71718 WEST_ADRENOCORTICAL_TUMOR_UP
WHITEFORD_PEDIATRIC_CANCER_M...          SET     114    -0.071202   -0.0054598     0.077529      0.82079 WHITEFORD_PEDIATRIC_CANCER_MARKERS
WHITEHURST_PACLITAXEL_SENSIT...          SET      34     -0.26496    -0.011118      0.12587      0.98235 WHITEHURST_PACLITAXEL_SENSITIVITY
WHITESIDE_CISPLATIN_RESISTAN...1         SET      12     0.051678    0.0012891      0.24414      0.41618 WHITESIDE_CISPLATIN_RESISTANCE_DN
WHITESIDE_CISPLATIN_RESISTAN...2         SET      11      0.20742    0.0049537      0.21785      0.17053 WHITESIDE_CISPLATIN_RESISTANCE_UP
